Cod Registro;0001 Ceramica a mano;Peso 0001;0002 Barniz Negro;Peso 0002;0003 Ceramica Pintada;Peso 003;0004 Ceramica Gris;Peso 004;0005 Ceramica de Cocina;Peso 0005;0006 Ceramica Comun;Peso 0006;0007 Mortero;Peso 0007;0008 Fusayola;Peso 0008;0009 Campaniense;Peso 0009;0010 T.S. Italica;Peso 0010;0011 Marmorata;Peso 0011;0012 T.S. Sudgalica;Peso 0012;0013 T.S. Hispanica;Peso 0013;0014 T.S. Africana;Peso 0014;0015 T.S. Meridional;Peso 0015;0016 Paredes finas;Peso 0016;0017 Cascara de huevo;Peso 0017;0018 Paleocristiana;Peso 0018;0019 Vidriada;Peso 0019;0020 Lucernas;Peso 0020;0021 Anforas;Peso 0021;0022 T.S. Aretina;Peso 0022;0023 T.S. Focense;Peso 0023;0024 T.S. Hispanica tardia;Peso 0024;0025 Lucente;Peso 0025;0026 Terracota;Peso 0026;0098 Otras ceramicas;Peso 0098;0099 Residuos;Peso 0099;0101 Tagula;Peso 0101;0102 Ambrice;Peso 0102;0103 ladrillo;Peso 0103;0104 Adobe;Peso 0104;0105 Cornisa;Peso 0105;0106 Revestimiento;Peso 0106;0107 Estuco;Peso 0107;0108 Pavimento;Peso 0108;0109 Sillar;Peso 0109;0110 Basa;Peso 0110;0111 Fuste;Peso 0111;0112 Capitel;Peso 0112;0113 Arquitrabe;Peso 0113;0114 Friso;Peso 0114;0115 Losa;Peso 0115;0116 Pintura mural;Peso 0116;0117 Muro;Peso 0117;Codigo_estrato;X1;Y1;X2;Y2;X3;Y3;X4;Y4;Z1;Z2;Z3;Z4;Nivel;
="0013007620";4;68,10;0;0,00;11;125,20;0;0,00;6;132,70;29;427,10;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;5,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;23,10;1;114,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;17;59,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000728";445156.95;4209865.83;445150.02;4209868.98;445160.81;4209863.15;445156.99;4209864.01;314.22;0;0;0;="01";
="0013007622";4;94,00;0;0,00;6;65,00;2;19,00;10;171,00;55;365,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;17,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;42,00;0;0,00;0;0,00;1;5,00;0;0,00;0;0,00;0;0,00;133;570,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000533";445167.56;4209865.1;445168.68;4209864.88;445168.51;4209863.82;445167.39;4209864.06;;;;;="01";
="0013007625";1;10,00;0;0,00;1;6,00;0;0,00;0;0,00;6;113,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;6,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;7;28,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000607";445166.65;4209868.62;4451667.08;4209868.4;445165.93;4209867.29;445165.51;4209867.86;314.22;314.15;314.22;314.19;="05";
="0013007628";14;330,30;0;0,00;14;121,00;5;79,60;15;221,60;111;2171,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;7;120,40;7;25,00;3;26,30;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;5;388,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;66;358,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000724";445163.75;4209887.4;445164.58;4209887.24;445163.8;4209880.23;445161.53;4209880.71;314.72;314.76;314.71;314.62;="01";
="0013007633";0;0,00;0;0,00;4;34,30;0;0,00;7;92,00;12;194,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;18;51,80;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000703";445165.92;4209886.95;445167.42;4209886.6;445165.18;4209879.25;445164.43;4209879.57;315.36;315.4;315.12;315.21;="00";
="0013007635";0;0,00;0;0,00;8;52,30;0;0,00;18;286,70;109;2366,10;1;21,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;12,10;7;16,00;13;108,50;0;0,00;0;0,00;0;0,00;5;53,80;5;25,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;260;700,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000712";445166.71;4209854.91;445171.53;4209853.61;445170.72;4209850.67;445165.9;4209851.96;314.8;314.82;314.69;314.65;="01";
="0013007654";3;90,50;0;0,00;17;165,40;0;0,00;18;230,00;58;717,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;6,40;0;0,00;0;0,00;2;8,40;0;0,00;0;0,00;0;0,00;0;0,00;4;250,40;0;0,00;0;0,00;1;25,60;0;0,00;0;0,00;0;0,00;90;200,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000533";445167.56;4209865.1;445168.68;4209864.88;445168.51;4209863.82;445167.39;4209864.06;;;;;="01";
="0013007655";10;169,80;0;0,00;32;494,30;6;61,40;58;1285,00;180;5145,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;125,20;0;0,00;2;134,40;1;5,30;0;0,00;0;0,00;0;0,00;1;9,30;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;770;3505,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000740";445156.95;4209865.83;445150.02;4209868.98;445160.81;4209863.15;445156.99;4209864.01;314.57;314.35;314.21;314.29;="03";
="0013007676";5;53,80;0;0,00;6;70,60;1;7,00;9;466,00;63;1185,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;15,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;172;755,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000741";445168.86;4209871.2;445170.03;4209870.95;445169.61;4209868.99;445168.44;4209869.24;315.34;315.33;315.26;315.22;="02";
="0013007688";0;0,00;0;0,00;1;6,70;0;0,00;1;13,20;16;295,00;1;21,50;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;50;229,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000533";445167.81;4209866.03;445168.92;4209865.78;445168.83;4209865.48;442167.76;4209865.7;314.99;314.95;314.94;314.94;="00";
