Codigo_estrato;0001 Ceramica a mano;Peso 0001;0002 Barniz Negro;Peso 0002;0003 Ceramica Pintada;Peso 003;0004 Ceramica Gris;Peso 004;0005 Ceramica de Cocina;Peso 0005;0006 Ceramica Comun;Peso 0006;0007 Mortero;Peso 0007;0008 Fusayola;Peso 0008;0009 Campaniense;Peso 0009;0010 T.S. Italica;Peso 0010;0011 Marmorata;Peso 0011;0012 T.S. Sudgalica;Peso 0012;0013 T.S. Hispanica;Peso 0013;0014 T.S. Africana;Peso 0014;0015 T.S. Meridional;Peso 0015;0016 Paredes finas;Peso 0016;0017 Cascara de huevo;Peso 0017;0018 Paleocristiana;Peso 0018;0019 Vidriada;Peso 0019;0020 Lucernas;Peso 0020;0021 Anforas;Peso 0021;0022 T.S. Aretina;Peso 0022;0023 T.S. Focense;Peso 0023;0024 T.S. Hispanica tardia;Peso 0024;0025 Lucente;Peso 0025;0026 Terracota;Peso 0026;0098 Otras ceramicas;Peso 0098;0099 Residuos;Peso 0099;0101 Tagula;Peso 0101;X1;Y1;X2;Y2;X3;Y3;X4;Y4;Z1;Z2;Z3;Z4;Nivel;Peso_total;Numero_piezas
000938;0;0.0;0;0.0;3;22.0;0;0.0;1;8.2;11;264.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;10;118.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;35;114.0;0;0.0;445168.03;4209876.53;445168.6;4209876.44;445168.37;4209875.47;445167.85;4209875.75;314.67;314.76;314.75;314.73;2.0;526.9;60
000939;1;17.9;0;0.0;1;8.3;0;0.0;3;56.3;7;100.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;13.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;37.6;0;0.0;445165.77;4209877.02;445166.98;4209876.77;445166.67;4209876.31;445165.71;4209876.51;;;;;3.0;233.6;22
000946;11;186.0;0;0.0;62;457.4;2;38.0;75;1610.1;0;0.0;0;0.0;0;0.0;2;8.9;1;2.4;0;0.0;0;0.0;4;19.8;2;4.3;9;57.5;5;13.6;0;0.0;0;0.0;0;0.0;3;13.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;2.8;335;983.9;0;0.0;445177.68;4209851.91;445178.34;4209851.85;445177.78;4209849.96;445176.3;4209850.5;313.12;513.09;313.29;313.26;1.0;3398.500000000001;512
000947;3;113.3;0;0.0;6;56.3;1;10.9;9;166.1;23;429.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;61;141.4;0;0.0;445177.68;4209851.91;445178.34;4209851.85;445177.78;4209849.96;445176.3;4209850.5;312.83;312.5;312.45;312.5;2.0;917.4;103
000950;55;500.3;0;0.0;54;361.9;0;0.0;7;103.7;95;953.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;3.0;0;0.0;1;3.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;394.6;0;0.0;0;0.0;1;3.8;0;0.0;0;0.0;10;110.4;155;465.0;0;0.0;445176.65;4209852.28;445177.6;4209852.04;445177.28;4209851.85;445176.48;4209851.87;313.49;313.26;313.24;313.35;0.0;2899.7000000000003;380
000951;27;225.0;0;0.0;20;114.0;0;0.0;2;32.0;218;750.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;6;44.0;1;4.0;16;70.0;0;0.0;0;0.0;0;0.0;2;10.0;1;4.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;10.0;0;0.0;0;0.0;0;0.0;445237.56;4209960.63;445240.45;4209961.45;445241.16;4209959.57;445238.27;4209958.76;318.63;318.56;318.53;318.59;0.0;1263.0;295
000952;1;13.3;0;0.0;8;41.5;3;11.2;15;221.2;85;940.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;2.3;1;7.3;3;12.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;80;221.0;0;0.0;445237.56;4209960.63;445240.45;4209961.45;445241.16;4209959.57;445238.27;4209958.76;318.29;318.34;318.31;318.31;1.0;1470.1;197
000955;4;51.4;0;0.0;51;320.7;5;28.1;13;137.6;89;859.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;8.9;0;0.0;4;27.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;620.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;100;162.4;0;0.0;445251.79;4209959.74;445252.62;4209960.15;445253.18;4209958.48;445252.43;4209958.16;317.9;317.9;317.93;317.93;1.0;2216.9;272
000956;2;12.0;0;0.0;4;28.3;0;0.0;9;262.7;9;183.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;4.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;11;42.9;0;0.0;445160.7;4209862.47;445161.77;4209862.21;445161.85;4209860.85;445160.69;4209860.99;313.62;313.7;313.7;313.69;1.0;533.7;36
000957;1;4.1;0;0.0;25;310.0;0;0.0;5;75.3;28;309.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;11.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;104;317.1;0;0.0;445251.79;4209959.74;445252.62;4209960.15;445253.18;4209958.48;445252.43;4209958.16;317.85;317.79;317.73;317.75;2.0;1026.9;165
